,,,,,,,
Data Point Details,,,,,,,
,,,,,,,
Container,Material,Material Desc,Data Point Desc,Data Point  Value,High Limit,Result,Submitter
26575879-017,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.87,8.34,PASS,gallarb
26575879-017,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.115,9.04,PASS,gallarb
26575879-017,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,3.08,5.34,PASS,gallarb
26575879-017,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,4.595,9.04,PASS,gallarb
26575879-017,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.815,5.34,PASS,gallarb
26575879-018,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.88,5.34,PASS,gallarb
26575879-018,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,5.35,9.04,PASS,gallarb
26575879-018,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,3.385,5.34,PASS,gallarb
26575879-018,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.61,5.34,PASS,gallarb
26575879-018,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.19,9.04,PASS,gallarb
26575879-018,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.1,8.34,PASS,gallarb
26575879-018,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.385,9.04,PASS,gallarb
26575879-018,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,2.995,5.34,PASS,gallarb
26575879-018,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.02,9.04,PASS,gallarb
26575879-018,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3,5.34,PASS,gallarb
26575879-019,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.23,5.34,PASS,gallarb
26575879-019,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.255,9.04,PASS,gallarb
26575879-019,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,2.28,5.34,PASS,gallarb
