26586150-040,50550785-01,TOP ASSY ERCP SCOPE,3.46,4.565,1.435,0.89,5.47,3.98,7.925,4.055,9,2.345,PASS,avilaa1
26586150-042,50550785-01,TOP ASSY ERCP SCOPE,3.47,4.555,1.78,0.665,7.11,5.685,7.565,4.925,6.575,4.564,PASS,avilaa1
26586150-043,50550785-01,TOP ASSY ERCP SCOPE,3.435,5.675,0.77,1.18,4.875,3.78,6.78,4.61,5.67,4.565,PASS,avilaa1
26586150-044,50550785-01,TOP ASSY ERCP SCOPE,4.565,6.345,1.04,0.625,6.44,5.9,6.68,4.805,4.55,3.455,PASS,avilaa1
26586150-045,50550785-01,TOP ASSY ERCP SCOPE,4.425,5.115,5.25,0.655,5.355,3.09,7.52,4.87,4.12,2.255,PASS,avilaa1
26586150-046,50550785-01,TOP ASSY ERCP SCOPE,4.15,8.13,1.565,0.465,4.355,2.74,9.12,4.565,5.275,3.235,FAIL,avilaa1
26586150-047,50550785-01,TOP ASSY ERCP SCOPE,4.67,5.785,1.435,0.98,5.3,7.14,7.665,3.845,5.675,2.345,PASS,avilaa1
26586150-049,50550785-01,TOP ASSY ERCP SCOPE,3.445,4.81,1.705,1.165,5.89,3.4,7.43,4.355,5.34,2.965,PASS,avilaa1
26586150-050,50550785-01,TOP ASSY ERCP SCOPE,3.335,4.75,0.975,0.565,5.575,6.27,8.82,4.15,5.99,3.455,PASS,chavj11
26586150-051,50550785-01,TOP ASSY ERCP SCOPE,5.31,4.615,1.075,0.78,2.56,7.34,7.755,4.225,5.46,3.465,FAIL,chavj11
26586150-052,50550785-01,TOP ASSY ERCP SCOPE,3.32,5.675,1.26,0.675,6.08,3.055,7.78,4.79,5.765,3.47,PASS,chavj11
26586150-053,50550785-01,TOP ASSY ERCP SCOPE,3.47,4.105,1.345,0.875,4.445,3.07,7.33,4.505,6.785,4.045,PASS,chavj11
26586150-054,50550785-01,TOP ASSY ERCP SCOPE,3.015,4.09,1.075,1.005,4.87,3.015,7.43,4.565,4.57,3.455,PASS,chavj11
26586150-055,50550785-01,TOP ASSY ERCP SCOPE,3.43,5.675,0.905,0.765,2.885,4.675,6.505,4.865,5.675,3.455,PASS,chavj11
26586150-056,50550785-01,TOP ASSY ERCP SCOPE,3.455,5.675,1.425,0.62,3.93,3.04,3.18,2.72,5.645,3.235,PASS,chavj11
26586150-057,50550785-01,TOP ASSY ERCP SCOPE,5.33,3.955,1.005,0.605,4.33,4.705,5.15,5.165,5.96,3.405,FAIL,chavj11
26586150-058,50550785-01,TOP ASSY ERCP SCOPE,3.125,4.275,1.165,0.985,4.055,7.715,5.675,2.255,4.7,2.345,PASS,chavj11
26586150-059,50550785-01,TOP ASSY ERCP SCOPE,3.455,6.32,1.155,0.915,5.01,4.175,7.96,3.93,5.22,2.435,PASS,chavj11
26586150-060,50550785-01,TOP ASSY ERCP SCOPE,2.125,3.72,1.175,1.055,5.465,4.095,8.265,5.31,6.38,3.15,REWORK,gallarb
26586150-062,50550785-01,TOP ASSY ERCP SCOPE,3.125,6.165,1.42,0.875,6.635,4.86,7.565,3.05,5.675,2.345,PASS,gallarb
26586150-063,50550785-01,TOP ASSY ERCP SCOPE,4.56,5.11,1.225,0.82,5.505,5.285,8.17,3.575,5.52,3.45,PASS,gallarb
26586150-064,50550785-01,TOP ASSY ERCP SCOPE,3.455,4.685,0.97,1.095,5.2,5.79,7.875,2.35,5.51,3.125,PASS,gallarb
26586150-065,50550785-01,TOP ASSY ERCP SCOPE,5.29,5.69,2.5,0.76,5.54,3.5,8.215,3.03,5.98,4.45,PASS,gallarb
26586150-066,50550785-01,TOP ASSY ERCP SCOPE,3.415,5.365,1.135,0.985,3.4,3.845,6.435,2.94,4.59,2.355,PASS,gallarb
26586150-067,50550785-01,TOP ASSY ERCP SCOPE,3.45,4.78,0.77,0.565,6.26,7.8,6.305,5.33,6.355,4.565,REWORK,gallarb
26586150-070,50550785-01,TOP ASSY ERCP SCOPE,3.14,4.105,1.43,0.635,5.075,4.84,6.78,2.225,5.37,3.775,PASS,gallarb
26586150-071,50550785-01,TOP ASSY ERCP SCOPE,2.09,3.82,0.93,0.775,4.055,3.915,6.315,3.495,5.59,3.605,PASS,gallarb
26586150-072,50550785-01,TOP ASSY ERCP SCOPE,3.455,4.015,1.075,0.815,5.62,3.975,4.415,4.025,5.43,2.345,PASS,gallarb
26586150-073,50550785-01,TOP ASSY ERCP SCOPE,3.125,5.945,1.215,0.82,6.055,3.515,7.955,2.2,5.955,3.4,PASS,gallarb
26586150-074,50550785-01,TOP ASSY ERCP SCOPE,2.34,3.815,3.4,0.69,4.225,3.25,8.53,3.48,4.2,2.465,PASS,gallarb
26586150-075,50550785-01,TOP ASSY ERCP SCOPE,3.445,4.81,1.605,0.51,5.365,4.405,7.89,4.565,5.465,3.125,PASS,gallarb
26586150-076,50550785-01,TOP ASSY ERCP SCOPE,4.85,5.41,3.155,0.585,5.91,7.305,8.44,3.38,5.41,3.01,PASS,gallarb
26586150-077,50550785-01,TOP ASSY ERCP SCOPE,3.455,4.43,0.84,0.6,5.16,3.66,7.59,2.36,4.335,5.32,FAIL,gallarb
